drugname,pt,a,b,c,d,PRR,ROR,ROR_CI_Lower,ROR_CI_Upper,Chi_Square,Chi2p_value,Fisherp_value,signal_status
CISATRACURIUM BESYLATE,ANAESTHETIC COMPLICATION NEUROLOGICAL,55,9.00,1.00,390316.00,335428.67,2385264.44,297140.86,19147439.20,329484.17,0.00,0.00,signal detected
DEXYCU,IRIS ATROPHY,3,1.00,1.00,390376.00,292782.75,1171128.00,58660.79,23380877.43,219587.81,0.00,0.00,signal detected
RELEUKO,PRODUCT BARCODE ISSUE,3,3.00,1.00,390374.00,195187.50,390374.00,31085.90,4902283.12,146390.62,0.00,0.00,signal detected
CERCINE,VASCULAR PAIN,3,2.00,5.00,390371.00,46845.12,117111.30,15970.18,858791.46,87832.65,0.00,0.00,signal detected
ZIPRASIDONE,OROMANDIBULAR DYSTONIA,3,10.00,1.00,390367.00,90084.92,117110.10,11207.28,1223738.57,67562.88,0.00,0.00,signal detected
KIT FOR THE PREPARATION OF TECHNETIUM TC99M SESTAMIBI,PRODUCT WITH QUALITY ISSUE ADMINISTERED,8,9.00,4.00,390360.00,45925.18,86746.67,22119.15,340202.25,122465.57,0.00,0.00,signal detected
EPOPROSTENOL,CARDIAC FAILURE HIGH OUTPUT,9,28.00,2.00,390342.00,47474.27,62733.54,12968.90,303456.49,77684.09,0.00,0.00,signal detected
BEYFORTUS,RESPIRATORY SYNCYTIAL VIRUS BRONCHIOLITIS,13,32.00,3.00,390333.00,37587.91,52857.59,14371.64,194405.42,91619.41,0.00,0.00,signal detected
OLMESARTAN,SPRUE-LIKE ENTEROPATHY,36,45.00,7.00,390293.00,24780.95,44604.91,18860.97,105487.62,145232.18,0.00,0.00,signal detected
EMTRICITABINE\TENOFOVIR DISOPROXIL,TRISOMY 21,3,14.00,2.00,390362.00,34443.88,41824.50,6482.77,269836.66,41330.79,0.00,0.00,signal detected
GANIRELIX,OVARIAN HYPERSTIMULATION SYNDROME,3,1.00,28.00,390349.00,10456.53,41823.11,4221.22,414376.42,28330.65,0.00,0.00,signal detected
MEMANTINE,PERINEAL INFECTION,3,28.00,1.00,390349.00,37775.81,41823.11,4221.22,414376.42,28330.65,0.00,0.00,signal detected
NIRSEVIMAB,ENTERAL NUTRITION,6,9.00,7.00,390359.00,22306.63,37177.05,10428.09,132539.45,72063.51,0.00,0.00,signal detected
MELOXICAM,PSEUDOPORPHYRIA,6,35.00,2.00,390338.00,28561.46,33457.54,6527.39,171493.72,42840.07,0.00,0.00,signal detected
BUPIVACAINE HYDROCHLORIDE,ANAESTHETIC COMPLICATION,18,35.00,6.00,390322.00,22094.04,33456.17,12536.91,89281.62,99420.28,0.00,0.00,signal detected
ERLOTINIB,ANAEMIA MEGALOBLASTIC,3,37.00,1.00,390340.00,29275.58,31649.19,3217.72,311297.99,21955.41,0.00,0.00,signal detected
SUPPRELIN LA,DELAYED PUBERTY,3,38.00,1.00,390339.00,28561.46,30816.24,3134.91,302924.06,21419.82,0.00,0.00,signal detected
TALC,MESOTHELIOMA,16,68.00,3.00,390294.00,24780.76,30611.29,8719.20,107469.85,62602.02,0.00,0.00,signal detected
CILGAVIMAB\TIXAGEVIMAB,BREAKTHROUGH COVID-19,12,22.00,7.00,390340.00,19681.36,30416.10,10950.92,84480.50,87007.73,0.00,0.00,signal detected
ZULRESSO,DRUG MONITORING PROCEDURE INCORRECTLY PERFORMED,3,7.00,6.00,390365.00,19518.55,27883.21,5792.28,134225.89,39034.00,0.00,0.00,signal detected
CELECOXIB,EOSINOPHILIC CYSTITIS,5,74.00,1.00,390301.00,24702.66,26371.69,3043.96,228473.74,20584.20,0.00,0.00,signal detected
METHADONE,IMPRISONMENT,9,67.00,2.00,390303.00,23110.16,26214.38,5559.48,123607.56,37814.43,0.00,0.00,signal detected
CEFTAZIDIME,MULTIPLE-DRUG RESISTANCE,9,4.00,35.00,390333.00,7721.56,25092.84,7382.09,85294.31,55271.30,0.00,0.00,signal detected
LITHIUM,NEPHROGENIC DIABETES INSIPIDUS,7,58.00,2.00,390314.00,21017.02,23553.43,4791.47,115781.52,32690.78,0.00,0.00,signal detected
AMANTADINE HYDROCHLORIDE,PARKINSONISM HYPERPYREXIA SYNDROME,3,17.00,3.00,390358.00,19518.05,22962.24,4324.96,121911.80,29274.53,0.00,0.00,signal detected
LEQEMBI,AMYLOID RELATED IMAGING ABNORMALITIES,23,404.00,1.00,389953.00,21004.55,22200.29,2990.90,164784.18,20128.68,0.00,0.00,signal detected
REVCOVI,BONE MARROW TRANSPLANT,3,3.00,18.00,390357.00,10843.75,21686.50,4100.08,114706.03,27880.29,0.00,0.00,signal detected
VERAPAMIL,VENTRICULAR DYSSYNCHRONY,3,57.00,1.00,390320.00,19516.05,20543.16,2105.33,200453.85,14635.69,0.00,0.00,signal detected
HYDRALAZINE,ANTINEUTROPHIL CYTOPLASMIC ANTIBODY,3,60.00,1.00,390317.00,18586.57,19515.85,2001.53,190288.88,13938.57,0.00,0.00,signal detected
BEOVU,KERATIC PRECIPITATES,4,80.00,1.00,390296.00,18585.57,19514.80,2157.38,176523.05,14867.05,0.00,0.00,signal detected
AIRSUPRA,BRONCHOSPASM PARADOXICAL,3,62.00,1.00,390315.00,18014.58,18886.21,1937.83,184066.09,13509.58,0.00,0.00,signal detected
NIACIN,RECALLED PRODUCT ADMINISTERED,60,15.00,84.00,390222.00,3717.20,18582.00,10148.40,34024.15,130079.99,0.00,0.00,signal detected
STEGLATRO,DIABETIC KETOSIS,3,22.00,3.00,390353.00,15614.24,17743.32,3394.02,92758.80,23418.72,0.00,0.00,signal detected
AMANTADINE,PARKINSONISM HYPERPYREXIA SYNDROME,3,23.00,3.00,390352.00,15013.65,16971.83,3253.91,88522.04,22517.83,0.00,0.00,signal detected
CINACALCET HYDROCHLORIDE,PARATHYROID TUMOUR BENIGN,3,70.00,1.00,390307.00,16040.05,16727.44,1719.00,162773.22,12028.66,0.00,0.00,signal detected
KALETRA,DYSLIPIDAEMIA,8,9.00,21.00,390343.00,8747.65,16522.46,5816.48,46934.13,50668.24,0.00,0.00,signal detected
LEQEMBI,AMYLOID RELATED IMAGING ABNORMALITY-MICROHAEMORRHAGES AND HAEMOSIDERIN DEPOSITS,17,410.00,1.00,389953.00,15525.10,16168.78,2146.71,121781.66,14661.38,0.00,0.00,signal detected
LEQEMBI,AMYLOID RELATED IMAGING ABNORMALITY-OEDEMA/EFFUSION,32,395.00,2.00,389952.00,14611.86,15795.52,3772.51,66135.99,27503.31,0.00,0.00,signal detected
GABLOFEN,IMPLANT SITE INFECTION,4,33.00,3.00,390341.00,14066.45,15771.35,3396.78,73226.94,24110.92,0.00,0.00,signal detected
ADCETRIS,HODGKIN'S DISEASE RECURRENT,4,100.00,1.00,390276.00,15010.65,15611.04,1729.59,140903.48,12007.08,0.00,0.00,signal detected
TEMOZOLOMIDE,ASTROCYTOMA,16,206.00,2.00,390157.00,14059.78,15151.73,3461.78,66317.07,24992.77,0.00,0.00,signal detected
THIOTEPA,ACUTE GRAFT VERSUS HOST DISEASE IN INTESTINE,3,40.00,2.00,390336.00,13616.44,14637.60,2381.48,89968.84,16337.54,0.00,0.00,signal detected
DAPTOMYCIN,AMAUROSIS,5,136.00,1.00,390239.00,13838.30,14347.02,1665.12,123616.63,11530.43,0.00,0.00,signal detected
BLINCYTO,CENTRAL NERVOUS SYSTEM LEUKAEMIA,6,171.00,1.00,390203.00,13227.25,13691.33,1639.55,114332.01,11336.14,0.00,0.00,signal detected
ISOTRETINOIN,SAPHO SYNDROME,5,146.00,1.00,390229.00,12921.52,13364.01,1551.73,115095.07,10766.43,0.00,0.00,signal detected
ERYTHROMYCIN,CHEMICAL BURNS OF EYE,5,52.00,3.00,390321.00,11412.98,12510.29,2914.18,53705.42,21396.03,0.00,0.00,signal detected
SENSODYNE EXTRA WHITENING,ORAL MUCOSAL EXFOLIATION,6,19.00,10.00,390346.00,9368.54,12326.72,4072.42,37311.46,35125.98,0.00,0.00,signal detected
NOXAFIL,ANTICOAGULATION DRUG LEVEL INCREASED,7,74.00,3.00,390297.00,11243.21,12306.66,3122.24,48508.05,23607.15,0.00,0.00,signal detected
HYDRALAZINE HYDROCHLORIDE,PULMONARY RENAL SYNDROME,3,49.00,2.00,390327.00,11259.49,11948.79,1953.50,73085.92,13509.16,0.00,0.00,signal detected
TAXOTERE,LACRIMAL STRUCTURE INJURY,10,37.00,9.00,390325.00,9227.75,11721.47,4503.92,30505.16,43703.07,0.00,0.00,signal detected
PHENTERMINE,GLOMERULONEPHRITIS MINIMAL LESION,5,21.00,8.00,390347.00,9383.53,11617.47,3511.60,38434.20,28867.22,0.00,0.00,signal detected
PHENYLEPHRINE,CARDIOMYOPATHY,15,4.00,128.00,390234.00,2407.66,11432.64,3743.39,34916.27,32311.62,0.00,0.00,signal detected
CHLORAPREP WITH TINT,PRODUCT CONTAMINATION,65,38.00,60.00,390218.00,4104.87,11124.64,6928.41,17862.34,128050.42,0.00,0.00,signal detected
SIMVASTATIN,LICHEN PLANUS PEMPHIGOIDES,3,108.00,1.00,390269.00,10547.84,10840.81,1118.80,105043.79,7909.46,0.00,0.00,signal detected
TENOFOVIR DISOPROXIL FUMARATE,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME ASSOCIATED TUBERCULOSIS,3,28.00,4.00,390346.00,9443.95,10455.70,2236.75,48875.19,16186.49,0.00,0.00,signal detected
GANIRELIX ACETATE,OVARIAN HYPERSTIMULATION SYNDROME,7,11.00,24.00,390339.00,6325.33,10349.90,3699.99,28951.52,34271.07,0.00,0.00,signal detected
DIANEAL PD-2 PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,ULTRAFILTRATION FAILURE,15,57.00,10.00,390299.00,8131.44,10271.03,4428.65,23820.82,48779.75,0.00,0.00,signal detected
GENOSYL,DRUG LEVEL FLUCTUATING,5,64.00,3.00,390309.00,9427.83,10164.30,2379.00,43427.05,17673.79,0.00,0.00,signal detected
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE,BLOODY PERITONEAL EFFLUENT,3,6.00,20.00,390352.00,6506.20,9758.80,2280.95,41752.02,16968.48,0.00,0.00,signal detected
TRAZODONE HCL,PRIAPISM,3,5.00,24.00,390349.00,6099.58,9758.73,2207.62,43138.19,16261.33,0.00,0.00,signal detected
SULFAMETHOXAZOLE\TRIMETHOPRIM,CRYSTALLURIA,3,122.00,1.00,390255.00,9366.14,9596.43,991.27,92902.71,7023.18,0.00,0.00,signal detected
ABACAVIR,NEPHROCALCINOSIS,4,28.00,6.00,390343.00,8132.27,9293.88,2486.98,34731.31,19513.15,0.00,0.00,signal detected
QALSODY,CSF PROTEIN INCREASED,3,42.00,3.00,390333.00,8674.13,9293.64,1823.34,47370.21,13008.40,0.00,0.00,signal detected
HYDROXYCHLOROQUINE,PHOSPHOLIPIDOSIS,5,210.00,1.00,390165.00,9073.63,9289.64,1080.66,79856.45,7559.81,0.00,0.00,signal detected
ALPHAGAN P,CORNEAL OPACITY,6,23.00,11.00,390341.00,7342.04,9257.10,3158.08,27134.76,28497.88,0.00,0.00,signal detected
ROMOSOZUMAB,PATHOLOGICAL FRACTURE,11,20.00,24.00,390326.00,5771.30,8944.97,3871.34,20667.94,43520.94,0.00,0.00,signal detected
TADALAFIL,CARDIAC SEPTAL HYPERTROPHY,7,309.00,1.00,390064.00,8640.68,8836.40,1083.92,72036.63,7559.00,0.00,0.00,signal detected
GIVLAARI,PORPHYRIA ACUTE,14,89.00,7.00,390271.00,7578.21,8770.13,3457.55,22245.60,35357.57,0.00,0.00,signal detected
ILUVIEN,MEDICAL DEVICE REMOVAL,3,15.00,9.00,390354.00,7228.94,8674.53,2136.45,35220.87,16261.13,0.00,0.00,signal detected
BIOTENE FRESH MINT ORIGINAL (SODIUM FLUORIDE),ORAL DISCOMFORT,6,4.00,68.00,390303.00,3444.45,8609.62,2376.36,31192.95,18983.59,0.00,0.00,signal detected
AGGRASTAT,CARDIAC FAILURE ACUTE,15,12.00,57.00,390297.00,3804.62,8559.14,3837.13,19092.13,45164.44,0.00,0.00,signal detected
GUANFACINE,ELECTROCARDIOGRAM T WAVE ABNORMAL,3,46.00,3.00,390329.00,7965.96,8485.41,1668.84,43145.06,11946.12,0.00,0.00,signal detected
AMLODIPINE BESYLATE,GINGIVAL HYPERTROPHY,39,151.00,12.00,390179.00,6674.32,8397.89,4312.78,16352.47,61236.35,0.00,0.00,signal detected
